year_month,no_of_rainy_days,total_rainfall,accidents_with_fatalities,accidents_with_injuries,year,month,average_rainfall,total_accidents
2015-12,19,302.3,11.0,729.0,2015,12,15.910526315789474,740.0
2016-01,15,126.6,13.0,690.0,2016,01,8.44,703.0
2016-02,10,186.0,8.0,689.0,2016,02,18.6,697.0
2016-03,6,6.2,10.0,656.0,2016,03,1.0333333333333334,666.0
2016-04,14,89.8,13.0,671.0,2016,04,6.414285714285714,684.0
2016-05,12,193.8,11.0,684.0,2016,05,16.150000000000002,695.0
2016-06,13,162.8,11.0,644.0,2016,06,12.523076923076925,655.0
2016-07,20,168.6,16.0,730.0,2016,07,8.43,746.0
2016-08,15,139.2,12.0,782.0,2016,08,9.28,794.0
2016-09,15,118.9,8.0,660.0,2016,09,7.926666666666667,668.0
2016-10,16,181.0,14.0,726.0,2016,10,11.3125,740.0
2016-11,20,290.2,11.0,742.0,2016,11,14.51,753.0
2016-12,23,292.6,13.0,630.0,2016,12,12.721739130434784,643.0
2017-01,21,197.6,8.0,681.0,2017,01,9.40952380952381,689.0
2017-02,15,158.4,11.0,581.0,2017,02,10.56,592.0
2017-03,11,136.2,8.0,668.0,2017,03,12.381818181818181,676.0
2017-04,21,208.6,10.0,664.0,2017,04,9.933333333333334,674.0
2017-05,15,190.0,13.0,628.0,2017,05,12.666666666666666,641.0
2017-06,10,106.0,9.0,627.0,2017,06,10.6,636.0
2017-07,9,79.6,7.0,679.0,2017,07,8.844444444444443,686.0
2017-08,18,84.2,16.0,647.0,2017,08,4.677777777777778,663.0
2017-09,19,124.4,10.0,619.0,2017,09,6.5473684210526315,629.0
2017-10,18,120.8,3.0,616.0,2017,10,6.711111111111111,619.0
2017-11,24,268.6,14.0,672.0,2017,11,11.191666666666668,686.0
2017-12,23,371.2,8.0,644.0,2017,12,16.139130434782608,652.0
2018-01,25,287.0,10.0,703.0,2018,01,11.48,713.0
2018-02,5,14.8,12.0,606.0,2018,02,2.96,618.0
2018-03,10,44.6,6.0,662.0,2018,03,4.46,668.0
2018-04,14,61.2,10.0,638.0,2018,04,4.371428571428572,648.0
2018-05,19,132.2,9.0,605.0,2018,05,6.957894736842104,614.0
2018-06,17,182.6,10.0,644.0,2018,06,10.741176470588234,654.0
2018-07,10,143.2,11.0,615.0,2018,07,14.319999999999999,626.0
2018-08,11,121.6,9.0,658.0,2018,08,11.054545454545455,667.0
2018-09,13,144.4,9.0,609.0,2018,09,11.107692307692307,618.0
2018-10,18,234.4,12.0,630.0,2018,10,13.022222222222222,642.0
2018-11,27,169.6,8.0,702.0,2018,11,6.281481481481482,710.0
2018-12,19,172.6,14.0,618.0,2018,12,9.08421052631579,632.0
2019-01,9,63.6,8.0,669.0,2019,01,7.066666666666666,677.0
2019-02,5,31.6,9.0,572.0,2019,02,6.32,581.0
2019-03,6,72.2,13.0,611.0,2019,03,12.033333333333333,624.0
2019-04,9,174.8,12.0,623.0,2019,04,19.422222222222224,635.0
2019-05,13,69.0,6.0,654.0,2019,05,5.3076923076923075,660.0
2019-06,16,173.8,11.0,644.0,2019,06,10.8625,655.0
2019-07,8,12.2,9.0,678.0,2019,07,1.525,687.0
2019-08,6,11.8,4.0,618.0,2019,08,1.9666666666666668,622.0
2019-09,4,22.8,10.0,649.0,2019,09,5.7,659.0
2019-10,15,176.8,9.0,683.0,2019,10,11.786666666666667,692.0
2019-11,15,137.4,15.0,661.0,2019,11,9.16,676.0
2019-12,14,421.5,11.0,643.0,2019,12,30.107142857142858,654.0
2020-01,6,88.4,11.0,636.0,2020,01,14.733333333333334,647.0
2020-02,8,65.0,9.0,480.0,2020,02,8.125,489.0
2020-03,8,108.8,10.0,510.0,2020,03,13.6,520.0
2020-04,12,188.0,10.0,286.0,2020,04,15.666666666666666,296.0
2020-05,16,255.6,2.0,260.0,2020,05,15.975,262.0
2020-06,21,233.8,7.0,358.0,2020,06,11.133333333333335,365.0
2020-07,22,140.8,3.0,476.0,2020,07,6.4,479.0
2020-08,12,103.4,9.0,428.0,2020,08,8.616666666666667,437.0
2020-09,18,150.2,4.0,472.0,2020,09,8.344444444444443,476.0
2020-10,16,78.8,5.0,507.0,2020,10,4.925,512.0
2020-11,19,220.6,6.0,479.0,2020,11,11.610526315789473,485.0
2020-12,20,253.2,4.0,584.0,2020,12,12.66,588.0
2021-01,17,692.8,7.0,549.0,2021,01,40.752941176470586,556.0
2021-02,2,1.0,8.0,467.0,2021,02,0.5,475.0
2021-03,14,182.4,14.0,526.0,2021,03,13.028571428571428,540.0
2021-04,14,290.4,5.0,494.0,2021,04,20.74285714285714,499.0
