date,content,username,like_count,retweet_count
2023-02-23 17:39:18+00:00,"For those wanting a closer look at the bright-green paint on the cars at #F1Testing... 🎨

Have a watch of the flo-vis paint being applied to @alo_oficial's car, and just how quick it dries! 🤓

#F1 https://t.co/tyEopcpkDG",F1,4098,242
2023-02-23 17:21:37+00:00,"Red Bull Racing tops the leaderboard for running on the opening day of testing 👊

#F1 #F1Testing https://t.co/z8DTA1MhZi",F1,10012,617
2023-02-23 16:59:40+00:00,"A solid Day 1 of testing across the board 💪

#F1 #F1Testing 

https://t.co/1d4zfC8XHN",F1,1455,154
2023-02-23 16:38:31+00:00,"🏁 DAY 1 TESTING CLASSIFICATION 🏁

Max Verstappen and Red Bull on fire 💪🔥

And, an impressive time from Fernando Alonso in the @AstonMartinF1 car, with the Ferraris close behind 😏

#F1 #F1Testing https://t.co/uSYNhWfWLY",F1,21821,1967
2023-02-23 16:33:39+00:00,"🏁 DAY 1 TESTING 🏁

850km done and 157 laps on the board ✅
Fastest time of the day ✅

A monstrous effort by @Max33Verstappen  and @redbullracing 👏

#F1 #F1Testing https://t.co/wRD3EYwKbQ",F1,12147,643
2023-02-23 16:26:19+00:00,"Who wore it best? 😆

@ScuderiaFerrari's whiskers or @ValtteriBottas's smashing moustache 🤪

#F1 #F1Testing https://t.co/nb9mFUEH65",F1,4779,212
2023-02-23 16:08:00+00:00,"F1 cars at night just hit different ✨🌌

#F1 #F1Testing https://t.co/xSsDcbIZlX",F1,4868,309
2023-02-23 15:28:00+00:00,"Oh how we missed zoomies 😍

#F1 #F1Testing https://t.co/ak07o65Wn5",F1,3995,209
2023-02-23 14:54:32+00:00,"Light mode ⚪️
Dark mode 🔘

2023 F1 cars under the lights? Sign us up 😍

#F1 #F1Testing https://t.co/LxhJ2h0fmi",F1,4388,295
2023-02-23 14:23:46+00:00,"Max Verstappen sets the fastest time of Day 1! 🤩

It's a lap time of 1:32.839 for the reigning champion 💪

#F1 #F1Testing @redbullracing https://t.co/wD9bZSd4i0",F1,13722,603
2023-02-23 14:16:15+00:00,https://t.co/Y8JnIpZpSV,F1,3972,437
2023-02-23 14:16:02+00:00,"Compare and contrast the 2023 cars! 🔎

#F1 #F1Testing https://t.co/I765GQPkTV",F1,14519,1121
2023-02-23 14:12:02+00:00,"Difficulties at @McLarenF1 as the gaffer tape appears 😫

It hasn't been a smooth start to testing for the Papaya team 

#F1 #F1Testing https://t.co/UR00nMJRFn",F1,5019,167
2023-02-23 13:57:46+00:00,"Felipe Drugovich explains his stoppage in the morning session 

And, @AstonMartinF1 provides an update on Lance Stroll's recovery 🗣️

#F1 #F1Testing 

https://t.co/NqATJWmIME",F1,1464,107
2023-02-23 13:08:08+00:00,"Logan Sargeant takes to the track for his first testing outing in Formula 1! 🙌

Good to have you, Logie Sarge! 👊

#F1 #F1Testing @WilliamsRacing https://t.co/7w7XIMp8Cw",F1,3722,158
2023-02-23 12:33:47+00:00,"Meet our stunning 2023 cars 😍

Which one is your favourite?! 👀

#F1 #F1Testing https://t.co/f3CNaKsmjl",F1,12963,1475
2023-02-23 12:31:18+00:00,"Max Verstappen is our first car on track for the afternoon 💪

He's done 71 laps thus far, so let's see how many he can achieve before the day ends! 👀

#F1 https://t.co/kgSi5VwzGc",F1,2928,152
2023-02-23 12:21:10+00:00,"The afternoon session of #F1Testing has begun! 🙌

And, Fernando Alonso is about to take a ride in his all-new @AstonMartinF1 car 👀

#F1",F1,1820,116
2023-02-23 12:01:00+00:00,"A tough start to testing for Aston Martin 🫣

@FelipeDrugovich went on to finish P7 with 40 laps completed 🙌

#F1 #F1Testing https://t.co/kX8B7oguPl",F1,4491,193
2023-02-23 11:55:00+00:00,"Meet Ferrari's new dimple 🤝

#F1 #F1Testing https://t.co/d23sfUdtk6",F1,7334,576
2023-02-23 11:45:00+00:00,"Valtteri is so chill 😎👨

#F1 #F1Testing @ValtteriBottas https://t.co/yUA7uevppz",F1,12814,603
2023-02-23 11:40:02+00:00,"REPORT: Max Verstappen goes quickest during Thursday's morning session

#F1 #F1Testing

https://t.co/lPpbQN2piX",F1,2729,238
2023-02-23 11:26:00+00:00,"F1 IS BACK! 🤩🤩🤩

Carlos couldn't wait to get going! 👀 

Do we count this as our first overtake of the year? 😆

#F1 #F1Testing @CarlosSainz55 https://t.co/tnseyoGxyv",F1,12169,947
2023-02-23 11:23:13+00:00,"Plenty of laps on the board during our morning session 📊

#F1 #F1Testing https://t.co/TXUHirM9s5",F1,4527,521
2023-02-23 11:20:10+00:00,"Our first session is done! ✅

@Max33Verstappen tops the charts with a 1:32.959 ⏱️

#F1 #F1Testing https://t.co/74lPnn74Ci",F1,10300,592
2023-02-23 10:52:31+00:00,"Russell ⚔️ Gasly

Our first testing tussle! 😜

#F1 #F1Testing https://t.co/y1iAWmBLyc",F1,5047,213
2023-02-23 10:33:57+00:00,"Painting the town 🎨🖌️

#F1 #F1Testing https://t.co/CVIxC6zUIZ",F1,5831,382
2023-02-23 10:07:04+00:00,"Mercedes W14 🆚 Ferrari SF-23 👀

#F1 #F1Testing https://t.co/7mDDB1zUCs",F1,25859,1539
2023-02-23 09:01:37+00:00,"Watch the cars hit the track for the first time in 2023 🤩👇

#F1 #F1Testing

https://t.co/oxEd7ZeXqm",F1,1479,128
2023-02-23 08:41:53+00:00,"Fastest time of the session so far?

A 1:33.253, from Carlos Sainz ⏱️

#F1 #F1Testing https://t.co/dolPIKnwdK",F1,15903,653
2023-02-23 08:31:08+00:00,"Hulk smash 😳

A rogue piece of @HulkHulkenberg's VF-23 deposits itself on track, with the team now giving it a once-over 🔧

The returnee is P3 on the timing screens currently

#F1 #F1Testing https://t.co/0IzFD5JcuY",F1,2330,111
2023-02-23 08:09:42+00:00,"Mercedes admin reveal 📲👀

#F1 #F1Testing @MercedesAMGF1 https://t.co/eLRH5uTzrt",F1,13720,552
